Title,Company,Location,Update Time,Minimum qualifications,Preferred qualifications,Responsibilities,About Job,Link
"Associate Supplier Development Engineer, Consumer Hardware, gReach Program for People with Disabilities",Google,"Shanghai China
Shenzhen, Guangdong Province, China
",2023-01-20T16:00:45.554Z,"Bachelor's degree or equivalent practical experience
Experience in program or project management, or statistical analysis
Ability to speak and write in English and Mandarin fluently","5 years of experience with supply chains
Ability to influence the product design process by proposing Design for Excellence (DFX) improvements with associated data
Ability to actively participate in complex technical discussions
Ability to work independently and as a team player in a globally distributed team
Excellent sense of ownership with the ability to be detail-oriented and organized","Collaborate with cross-functional teams, including Product Design, Industrial Design, Project Management, Reliability, and Product Operations to deliver Google Hardware products to market.
Provide detailed and critical Design for Manufacturability (DFM) reviews of mechanical parts and make recommendations to Product Design to improve manufacturing processes for quality, yield, and cost.
Work with Reliability Engineering to set up ongoing Reliability test plans for manufacturing processes that are critical to function and fix issues.
Act as a point of contact for identifying suitable manufacturing processes. Identify and highlight manufacturability issues during engineering builds to ensure product quality is stable and that supply is predictable during ramp.","The gReach Program is a 12 months paid upskilling program for students and industry professionals with disabilities and vocation support candidates with a certificate issued by government. Participants will receive on-the-job-training and work on a range of projects. gReach Associates will be placed in teams across the business such as Device and Services, Software, Advertising Sales, User Support, Market HR, and Google Cloud.

gReach Associates will have the opportunity to be exposed to career opportunities at Google and further develop professional skills. Associates will learn to make an impact by working with teams on business-critical projects and collaborating with Googlers across a variety of functions.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.",https://careers.google.com/jobs/results/88747659294057158-associate-supplier-development-engineer-consumer-hardware-greach-program-for-people-with-disabilities/?page=1
"Associate Global Supply Chain Manager, Consumer Hardware, gReach Program for People with Disabilities",Google,"Shanghai China
Shenzhen, Guangdong Province, China
",2023-01-20T15:30:44.007Z,"Bachelor's degree or equivalent practical experience
Experience in program or project management
Ability to speak and write in English and Mandarin fluently","3 years of experience working in global supply chain management and consumer electronics
Experience in collaborating cross-functionally with Engineering and Product teams
Experience collaborating with supplier management in various geographies
Excellent communication, sourcing, consultation, and collaboration skills","Drive suppliers to ensure material availability and readiness for the product builds and steady state production.
Manage end of line decisions for the components.
Identify and execute on cost-down initiatives.
Assist with new product ramps as needed.","The gReach Program is a 12 months paid upskilling program for students and industry professionals with disabilities and vocation support candidates with a certificate issued by government. Participants will receive on-the-job-training and work on a range of projects. gReach Associates will be placed in teams across the business such as Device and Services, Software, Advertising Sales, User Support, Market HR, and Google Cloud.

gReach Associates will have the opportunity to be exposed to career opportunities at Google and further develop professional skills. Associates will learn to make an impact by working with teams on business-critical projects and collaborating with Googlers across a variety of functions.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.",https://careers.google.com/jobs/results/78944825937666758-associate-global-supply-chain-manager-consumer-hardware-greach-program-for-people-with-disabilities/?page=1
"Senior Staff Software Developer, Cloud SDK",Google,"Waterloo, ON, Canada

",2023-01-20T15:30:44.007Z,"Bachelor's degree or equivalent practical experience.
8 years of experience in software development, and with data structures/algorithms.
7 years of experience with full stack development, across back-end such as Java, Python, GO, or C++ codebases.
5 years of experience with design and architecture; and testing/launching software products","Master¡¦s degree or PhD in Engineering, Computer Science, or a related technical field.
5 years of experience in a technical leadership role leading project teams and setting technical direction.
5 years of experience with CLIs and SDKs, including building APIs for a cloud platform or other web service.
3 years of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects.","Lead across the developer products to align the developer surface with new platform capabilities and define API development standards for Google Cloud.
Work with partner teams across Google Cloud to support the developer surface for their APIs in Google Cloud and the client libraries.
Work with SDK client library teams across Google Cloud to build the technical foundation in SDK to support their specific use cases.
Interface with Product Managers and UX teams to build and enforce SDK and CLI design guidelines to produce high quality developer surfaces, and keep user satisfaction high.","Google Cloud's software developers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for software developers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software developer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our software developers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you¡¦ll work with experts and users across many different programming languages and environments to support the breadth of Google Cloud APIs. You will collaborate with teams across Google Cloud, and additionally with some non-Cloud Google teams using these tools to build client libraries. Since much of our work is open source, you may also provide leadership outside Google in the API support space.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/139497130302546630-senior-staff-software-developer-cloud-sdk/?page=1
"Associate Technical Program Manager, Consumer Hardware, gReach Program for People with Disabilities",Google,"Shanghai China
Shenzhen, Guangdong Province, China
",2023-01-20T15:00:37.963Z,"Bachelor's degree or equivalent practical experience
Experience in program or project management
Ability to speak and write in English and Mandarin fluently","5 years of experience with supply chains
Experience or interest in testing, mechanical/electrical, module/system, or general program management
Detail-oriented, problem-solver with the ability to meet deadlines in a dynamic environment
Team player with excellent communication skills","Coordinate and deliver program communications under direct guidance of program stakeholders, including meeting notes, meeting actions items, decision logs, newsletters, and websites.
Communicate status, risks, and influence change. Drive initiatives and process improvements to help the team become more scalable. Represent the materials organization in internal program meetings.
Collect data relating to program progress from program stakeholders. Provide a high level of Customer Service for internal customers. Source, evaluate, and recommend potential suppliers, and support cost reduction programs.","The gReach Program is a 12 months paid upskilling program for students and industry professionals with disabilities and vocation support candidates with a certificate issued by government. Participants will receive on-the-job-training and work on a range of projects. gReach Associates will be placed in teams across the business such as Device and Services, Software, Advertising Sales, User Support, Market HR, and Google Cloud.

gReach Associates will have the opportunity to be exposed to career opportunities at Google and further develop professional skills. Associates will learn to make an impact by working with teams on business-critical projects and collaborating with Googlers across a variety of functions.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.",https://careers.google.com/jobs/results/102105145023570630-associate-technical-program-manager-consumer-hardware-greach-program-for-people-with-disabilities/?page=1
"Student Researcher, 2023",Google,"London UK
Dublin Ireland
",2023-01-20T15:00:38.126Z,"Currently pursuing a Bachelor¡¦s, Master¡¦s, or PhD degree in Computer Engineering, Computer Science, Electrical Engineering, Math, or related technical field.
Experience in one area of computer science (e.g., Natural Language Understanding, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Quantum Information Science, Data Science, Software Engineering, etc.).","Currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Experience as a researcher, including internships, full-time, or at a lab.
Experience contributing research communities or efforts, including publishing papers in major conferences or journals.
Experience with one or more general purpose programming languages (e.g., C/C++, Java, MATLAB, Go, Python, etc.).
Ability to speak and write in English fluently.","Participate in research to develop solutions for real-world, large-scale problems.","The Student Researcher Program¡¦s primary objective is to foster academic collaborations with students through research at Google. Join us for a paid Student Researcher position that offers the opportunity to work directly with Google research scientists and engineers on research projects.
The Student Researcher Program offers more opportunities for research students to work on critical research projects at Google in a less structured way. The program allows for flexibility beyond the limitations of our traditional internship program on aspects such as duration, time commitment, and working location (with options for on-site or remote).
The topics student researchers work on tend to be open-ended and exploratory, and don't always have a clear deliverable like a traditional internship would.
Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we¡¦re working on projects that utilize the latest computer science techniques developed by skilled software engineers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.",https://careers.google.com/jobs/results/127305951532196550-student-researcher-2023/?page=1
"Director, Global Product Knowledge and Enablement",Google,"Mountain View, CA, USA
Atlanta, GA, USA
Chicago, IL, USA
",2023-01-20T15:00:38.039Z,"Bachelor's degree or equivalent practical experience.
15 years of work experience with 5 years of management experience in
learning and development leadership roles, talent development, or sales
enablement/operations.","Experience managing manager of managers and leading global teams and other managers.
Experience designing and implementing product knowledge and enablement programs at scale, including training for internal audiences and external users.
Experience with digital products.
Understanding for how to drive change management at a global scale.
Ability to bring operational improvements to inform development cycles with appropriate scope and resourcing, while predicting resource needs and adjusting plans in real-time.
Excellent stakeholder management skills.","Manage executive stakeholders across Product Leads, Marketing, Product and Learning and development organizations to inform global integrated product curriculum for internal and external audiences.
Lead a global team of learning strategists to design comprehensive product learning journeys by building a strategy rooted in data and thought leadership across trends in product knowledge, underlying capabilities, and product priorities to deliver customer success.
Manage a portfolio of multi-tiered, multi-format learning programs, project scoping, prioritization, development timelines, and resourcing decisions including tools in order to inform curriculum depth and tiering decisions.","The Mastery Team develops and delivers product and skills training to Google sales and services teams, as well as external client and agency partners. We use our knowledge of learning best practices and Google¡¦s business priorities to build effective learning experiences for our key audiences. Our team is made up of learning professionals, business and marketing leaders, and former consultants and analysts who launch and iterate learning programs while managing key pillars of knowledge, skill and disciplined practice to help our audiences.
As the Director, Product Knowledge and Enablement, you will be responsible for leading the planning, design, and implementation of Global enablement programs across all regions and sales/service channels. You will deliver sales and product enablement and business-supporting initiatives for sales teams as well as product enablement to our customer-facing team including sales, customer engineers, and professional services. You will focus on long-term strategy and driving impact by working closely across all relevant functions (e.g., product, sales, service, marketing, enablement, learning) to support enablement needs and ensure proper landing and execution of programs globally.
The Go-to-Market Operations (GtM) team ensures Google's complex and ever-evolving Ads business runs smoothly. We are instrumental in setting go-to-market strategy, and ensuring flawless execution and operations against the strategy. We have teams embedded in each of the major Ads business areas as well as global teams that work across the business areas. Team members are analytical and strategic, with a pragmatic sense of how to get things done.
The US base salary range for this full-time position is $243,000-$365,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/72250999147766470-director-global-product-knowledge-and-enablement/?page=1
"Student Researcher, 2023",Google,"Paris France
Grenoble France
Amsterdam Netherlands
",2023-01-20T15:00:38.520Z,"Currently pursuing a Bachelor¡¦s, Master¡¦s, or PhD degree in Computer Engineering, Computer Science, Electrical Engineering, Math, or related technical field.
Experience in one area of computer science (e.g., Natural Language Understanding, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Quantum Information Science, Data Science, Software Engineering, etc.).","Currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Experience as a researcher, including internships, full-time, or at a lab.
Experience contributing research communities or efforts, including publishing papers in major conferences or journals.
Experience with one or more general purpose programming languages (e.g., C/C++, Java, MATLAB, Go, Python, etc.).
Ability to speak and write in English fluently.","Participate in research to develop solutions for real-world, large-scale problems.","The Student Researcher Program¡¦s primary objective is to foster academic collaborations with students through research at Google. Join us for a paid Student Researcher position that offers the opportunity to work directly with Google research scientists and engineers on research projects.
The Student Researcher Program offers more opportunities for research students to work on critical research projects at Google in a less structured way. The program allows for flexibility beyond the limitations of our traditional internship program on aspects such as duration, time commitment, and working location (with options for on-site or remote). The topics student researchers work on tend to be open-ended and exploratory, and don't always have a clear deliverable like a traditional internship would.
Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we¡¦re working on projects that utilize the latest computer science techniques developed by skilled software engineers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.",https://careers.google.com/jobs/results/143886380720628422-student-researcher-2023/?page=1
"2023 Software Engineering Intern, People with Disabilities (??? ??)",Google,"Seoul South Korea
",2023-01-20T14:30:38.539Z,"Currently enrolled in a Bachelor's degree program.
Completed one or more Computer Science courses.","Availability to participate in a 10-12 weeks program between June and September 2023.
Experience in systems software or algorithms.
Experience with one or more general purpose programming languages (e.g., Java, C/C++, C#, Objective-C, Python, JavaScript, Go, etc.).",Specific responsibilities vary by project area.,"Join us for a unique, 12-week, paid, full-time internship for students who are interested in working in technology and full-time opportunities at Google. Relocation assistance is available on a case by case basis. This program will give you an opportunity to work on complex computer science solutions, develop scalable, distributed software systems, and also collaborate on multitudes of smaller projects that have universal appeal, which requires research, awareness, interactivity, and asking questions.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.",https://careers.google.com/jobs/results/139171881019155142-2023-software-engineering-intern-people-with-disabilities/?page=1
"Student Researcher, 2023",Google,"Munich Germany
Berlin Germany
",2023-01-20T14:30:54.419Z,"Currently pursuing a Bachelor¡¦s, Master¡¦s, or PhD degree in Computer Engineering, Computer Science, Electrical Engineering, Math, or related technical field.
Experience in one area of computer science (e.g., Natural Language Understanding, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Quantum Information Science, Data Science, Software Engineering, etc.).","Currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Experience as a researcher, including internships, full-time, or at a lab.
Experience contributing to research communities or efforts, including publishing papers in major conferences or journals.
Experience with one or more general purpose programming languages (e.g., C/C++, Java, MATLAB, Go, Python, etc.).
Ability to speak and write in English fluently.","Participate in research to develop solutions for real-world, large-scale problems.","The Student Researcher Program¡¦s primary objective is to foster academic collaborations with students through research at Google. Join us for a paid Student Researcher position that offers the opportunity to work directly with Google research scientists and engineers on research projects.
The Student Researcher Program offers more opportunities for research students to work on critical research projects at Google in a less structured way. The program allows for flexibility beyond the limitations of our traditional internship program on aspects such as duration, time commitment, and working location (with options for on-site or remote).
The topics student researchers work on tend to be open-ended and exploratory, and don't always have a clear deliverable like a traditional internship would.
Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we¡¦re working on projects that utilize the latest computer science techniques developed by skilled software engineers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.",https://careers.google.com/jobs/results/77326550980010694-student-researcher-2023/?page=1
"Digital Natives Sales Manager, Google Cloud",Google,"Sunnyvale, CA, USA
Austin, TX, USA
New York, NY, USA
",2023-01-20T14:30:38.562Z,"Bachelor¡¦s degree or equivalent practical experience.
3 years of experience in coaching, mentoring and developing team members.
3 years of experience in business technology sales.
2 years of experience in people management and delivering sales results.","5 years of experience in technology sales acquiring new customers.
Experience in working with executive stakeholders in Google or similar large matrixed organizations.
Experience in sales and operations and managing Sales teams.
Knowledge of presenting and analyzing sales performance data.
Ability to manage multiple tasks with shifting priorities and varying deadlines.
Demonstrated organizational and project management capabilities.","Build a high performing team of sales representatives to acquire new Google Cloud Platform (GCP) customers. Actively coach and develop, maintaining a culture of excellence that attracts and retains a diverse team of talent.
Achieve team targets to maximize business growth by focusing on motivating, enabling and developing the team to be successful. Manage regular forecasts and business reviews.
Manage executive stakeholders through regular progress updates.
Navigate ambiguity, prioritize among competing priorities, and learn Google Cloud systems, value propositions, and customer success stories.
Communicate the business value and capabilities of Google Cloud Platform to engage and inspire executives.","As a member of the Google Cloud team, you inspire leading companies, schools, and government agencies to work smarter with Google tools like Google Workspace, Search, and Chrome. You advocate the innovative power of our products to make organizations more productive, collaborative, and mobile. Your guiding light is doing what¡¦s right for the customer, you will meet customers exactly where they are at and provide them the best solutions for innovation. Using your passion for Google products, you help spread the magic of Google to organizations around the world.
As a Digital Native Sales Manager, you will be responsible for building a high performing team of sales representatives who will attract and onboarding digital native mid-market customers to Google Cloud Platform. You will work closely with executive sales leaders, customer engineering, and other support teams to develop and execute an acquisition strategy for multiple territories throughout North America. Through tailored value propositions and relationship-building with executive leaders at target customers, your team will bring opportunities through the full sales cycle, while delivering the highest quality customer experience.
You will also participate actively in all aspects of building a hyper-growth business, including contributing strategy, identifying initiatives, assigning objectives, business planning, demand generation, customer engagement, etc.

Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
The US base salary range for this full-time position is $114,000-$181,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/140614440274797254-digital-natives-sales-manager-google-cloud/?page=1
